Term,Score
del,0.1671516142738981
set,0.1671443509536715
negro,0.16705692452595086
pas,0.16606647993547333
yard,0.1660664799354733
city,0.16488868113362976
go,0.16468634579258806
pretty,0.16465681406085486
appeared,0.16419365007426567
along,0.16409411061704088
clear,0.16351091755389238
strong,0.16342298948484713
vegetation,0.16090421438006117
young,0.1597359098482038
say,0.1596504926142437
bank,0.15906259850944487
might,0.1590147609396358
stone,0.15894322942227973
ft,0.15880398874247428
eye,0.15847077768227602
spanish,0.1573212015390675
run,0.1571724134217251
chiloe,0.15649268074216796
excepting,0.1564907171151971
whilst,0.1559946717809905
know,0.1559946717809905
quiet,0.15587595768068427
distant,0.15587595768068427
sight,0.15584700424713654
level,0.15584700424713654
lost,0.15527170747072014
interesting,0.15527170747072014
sort,0.15467761320868187
early,0.1540933391374304
port,0.15336182933099582
character,0.15332603574563133
rode,0.15276732509216012
effect,0.15207716148776526
new,0.15207716148776526
harbor,0.15155245942382536
employed,0.15144262946631976
end,0.15144262946631973
sent,0.1513660211622136
cloud,0.15072728937706126
miserable,0.15026294271360013
met,0.14968801278259533
cut,0.1496111357531218
gave,0.1495139534006408
summit,0.1491538562176518
next,0.14912258626202946
middle,0.14757564147019073
consequence,0.1462349695973928
name,0.14617480896020704
village,0.14602611900638526
started,0.1456275285587997
friend,0.14554563892109337
certainly,0.144897557684057
mass,0.1448712710264794
cordilleras,0.14426788090479603
face,0.14426788090479603
built,0.14421110141081186
schooner,0.143730079627919
immediately,0.14356454451448916
passage,0.14356454451448913
person,0.1435645445144891
interest,0.14307265963671553
excellent,0.14293105027135114
sound,0.14170121034921312
able,0.14158908138516077
common,0.14158908138516074
ride,0.14158908138516074
obliged,0.1405177907146313
government,0.14051569942123862
ayres,0.13976042587131493
got,0.13972264490962638
beach,0.13972264490962638
mean,0.13912482470650017
stood,0.13896706135950962
told,0.13892462605647024
former,0.13853839225016154
feeling,0.13834401562305312
shall,0.13773355753421115
upon,0.13773355753421113
formerly,0.13760678588903372
climate,0.137605633066389
one,0.13713518852241108
fish,0.1370200253640343
seeing,0.13696920169776233
height,0.13696920169776233
bright,0.13696920169776233
entirely,0.13573375117733516
deep,0.13559956895815956
produce,0.13559956895815956
appear,0.13559956895815953
stand,0.13496050154501382
salt,0.13450059952776885
anchored,0.13433517858818997
owing,0.13433517858818997
month,0.1342367166535463
hundred,0.13358137120814445
guide,0.13357234287771694
mule,0.1330132115288434
idea,0.1329407538805486
often,0.13231421720099396
object,0.13231421720099393
killed,0.13169850370427366
cold,0.1315519823204754
walked,0.13139566777836129
reach,0.1305132222858992
usual,0.1305132222858992
hence,0.1302819388029376
nature,0.1296679328569741
slept,0.12937281936076517
continued,0.12906713236904527
looked,0.12906713236904527
colour,0.12906713236904527
still,0.12906713236904527
kind,0.1282381163598187
felt,0.1282381163598187
red,0.1282381163598187
known,0.1282381163598187
making,0.1276231237253266
eat,0.1274390457638336
cape,0.1274390457638336
fall,0.1274390457638336
rest,0.1270216485129542
pleasure,0.12673965045837207
hard,0.12643310925947293
change,0.12605842333491152
indeed,0.125856961231254
dead,0.1255664889356558
dinner,0.1255664889356558
degree,0.1255664889356558
room,0.12537157005984814
extreme,0.12496430864771567
taken,0.12496430864771566
determined,0.12496430864771564
visit,0.12474686156385426
better,0.1243753641689343
gun,0.12411488472654694
broken,0.12411488472654694
anything,0.12411488472654694
cliff,0.12401938363539758
direction,0.12398444066579878
tribe,0.12390208970103579
native,0.12346532956148067
elevation,0.12329221623378811
stream,0.1228948615114929
carried,0.12266847815300533
child,0.12258553516962928
food,0.12203497326898785
noon,0.12172907982491442
slave,0.12165860706888973
five,0.12141673505857851
probably,0.1212292308732255
constant,0.12122923087322549
world,0.12122923087322549
calm,0.1208130449881917
necessary,0.12081304498819169
leaving,0.12081304498819169
summer,0.12057762232035014
turned,0.12022323408733003
given,0.12022323408733002
fitzroy,0.11979950027941044
lying,0.11979950027941044
sufficient,0.11964667849249372
thick,0.1196466784924937
lava,0.11928167647802344
bone,0.11909697612668552
instead,0.1187185853906101
family,0.11847402108065215
account,0.11783722181306949
de,0.11783722181306946
cultivated,0.11768802458679775
blue,0.11721654579064954
arm,0.11721654579064952
channel,0.11701346538919156
yesterday,0.11661119667925507
lofty,0.11661119667925506
minute,0.11661119667925506
enjoyed,0.11661119667925504
looking,0.11602043572264172
sand,0.11556351656934774
field,0.11556351656934774
least,0.11544357632204984
wall,0.11505194043667612
isd,0.11485146935951698
spaniard,0.11485146935951691
right,0.11449057960947166
situated,0.11449057960947163
reason,0.11422743049897276
struck,0.11422743049897276
piece,0.11422743049897274
southern,0.11389930838438865
grass,0.11358697557211256
oclock,0.11346305811324178
entered,0.1133222860546733
top,0.11296360149550559
deal,0.11296360149550558
exceedingly,0.11296360149550558
habit,0.11296360149550558
grand,0.1123564207985081
mouth,0.11208383293980739
america,0.11208383293980739
meat,0.11198018262552907
bush,0.111980182625529
show,0.11176461342829376
delightful,0.11176461342829376
best,0.11176461342829376
flat,0.11176461342829375
true,0.11176461342829375
power,0.11144139560875391
certain,0.1114413956087539
bahia,0.11127425375764495
king,0.11127425375764492
cross,0.11081656153376836
fact,0.11020839170293224
canoe,0.10994795959036714
spent,0.10961602029122741
surface,0.10961602029122741
shell,0.10928173711631221
hot,0.10928173711631221
glad,0.10903864724711587
volcanic,0.10838467853581307
chiefly,0.10804614749542414
narrow,0.10804614749542414
letter,0.10804614749542414
home,0.10804614749542414
ran,0.10804614749542414
foot high,0.1077544069717631
lake,0.10764443974846018
surprised,0.10745318191035895
fell,0.1071076495032979
considerable,0.1071076495032979
paid,0.1071076495032979
fuegians,0.10697639311495177
suppose,0.10687561978394675
staid,0.10687561978394675
numerous,0.10687561978394672
main,0.10647964129281705
behind,0.10647964129281702
across,0.106479641292817
followed,0.10631268106593797
spring,0.1062376091575532
skin,0.10623760915755316
collected,0.10586932582831621
get,0.10586932582831621
greater part,0.10586932582831621
leaf,0.10556788177007338
mud,0.10545536289971004
east,0.10527573345707994
rise,0.10527573345707994
beauty,0.10527573345707994
range,0.10478745204453349
street,0.10473513056606938
ocean,0.10469797211778567
living,0.10469797211778566
imagine,0.10469797211778566
surrounding,0.10469797211778566
six,0.10428902714794797
complete,0.10428902714794797
running,0.10428902714794797
subject,0.10403931764684221
la,0.10400482663953646
live,0.10367754546932186
become,0.10336632242356522
put,0.10308329093809736
video,0.10308329093809736
rosa,0.10299785145804859
voyage,0.10271469577628763
church,0.10271469577628763
thousand,0.102526047263607
riding,0.10250531941873572
remain,0.10250531941873572
desert,0.10182582138367854
andes,0.10179352484326112
fruit,0.1017935248432611
afterwards,0.10147040479259802
tropical,0.10147040479259802
beneath,0.10147040479259802
higher,0.10087544964582668
ready,0.10049503568957731
insect,0.10049503568957731
garden,0.1002972560478785
000,0.0998767044441683
likewise,0.09986150978250186
pampas,0.09959673162750393
survey,0.09924748010557127
bottom,0.09924748010557127
swell,0.09924748010557126
watch,0.09924748010557125
buenos,0.09891651220128773
ostrich,0.09891651220128773
sure,0.09865178243724808
beyond,0.09865178243724808
remained,0.09825935555535101
anchorage,0.09807335382233148
ago,0.09807335382233148
wickham,0.0973516419079567
seems,0.09700832378871611
feel,0.09700832378871609
language,0.09675555743028806
capt fitzroy,0.09666741599140088
force,0.09666741599140088
guanaco,0.09666741599140088
remarkable,0.09641183781684068
broad,0.09641183781684068
respect,0.09641183781684068
northern,0.09641183781684068
steep,0.09641183781684068
fuego,0.09641183781684066
del fuego,0.09641183781684066
west,0.09641183781684065
began,0.09600720301889692
aspect,0.09583316008189813
either,0.09583316008189813
gentleman,0.09580567044071633
perfect,0.09536937450960535
leave,0.09527125799883629
outline,0.0947524622216015
scattered,0.09475246222160147
want,0.09475246222160147
rich,0.09440159215317014
became,0.09415513779493033
flower,0.09373810035529784
brazil,0.09373810035529784
standing,0.09373810035529782
finding,0.09357619552811007
whether,0.09309789383650612
buenos ayres,0.09309789383650612
sailor,0.09309789383650612
storm,0.09309789383650612
following,0.0930978938365061
deck,0.09247939346385975
received,0.09247939346385974
lower,0.09247939346385971
companion,0.09211856073787514
leg,0.09145154239838357
war,0.09145154239838356
length,0.09130195180114456
showed,0.09130195180114456
proceeded,0.09130195180114455
dog,0.0912439553016673
track,0.09080878471919478
central,0.09080878471919478
strange,0.09080878471919478
difficult,0.09074055323937943
accompanied,0.09074055323937943
keep,0.09074055323937943
hear,0.09074055323937943
early morning,0.09074055323937943
passing,0.09074055323937943
ridge,0.09051602575060469
various,0.0901885846541153
region,0.0901885846541153
quantity,0.09018858465411529
horizon,0.09018858465411529
soldier,0.08970658451945253
highest,0.08958941241811413
jago,0.08914699426245981
st jago,0.08914699426245981
valparaiso,0.08914699426245981
comfort,0.08900988875362567
greatest,0.08900988875362564
winter,0.08900988875362564
neither,0.08900988875362564
everything,0.08900988875362564
striking,0.08900988875362564
therefore,0.08850149264359698
similar,0.08844876580735878
going,0.08844876580735878
straight,0.08844876580735878
governor,0.08820249012494508
mentioned,0.08787946908309172
advantage,0.08787946908309172
shot,0.0878794690830917
tide,0.08749882489225119
quarter,0.0872792754717245
interior,0.0872792754717245
impossible,0.0872792754717245
good deal,0.08727927547172448
composed,0.08727927547172448
square,0.08682388883689916
wide,0.0866994313723685
sailed,0.0866994313723685
extraordinary,0.0866994313723685
surrounded,0.0866994313723685
something,0.0866994313723685
absence,0.0866994313723685
remains,0.0861754277870445
travelling,0.0861754277870445
lady,0.08587063119222704
cleared,0.08555144288881043
asked,0.08555144288881042
placed,0.08555144288881042
cottage,0.08516102494822284
french,0.08516102494822284
path,0.08516102494822284
tent,0.08516102494822281
cove,0.08516102494822281
boy,0.08516102494822281
pasture,0.08495015344698868
inhabited,0.08495015344698867
single,0.08495015344698867
peak,0.08448162403389771
pound,0.08448162403389771
hope,0.08436996628933367
geological,0.08436996628933367
kept,0.08436996628933367
expected,0.08436996628933367
compared,0.08436996628933367
troop,0.08427096937476704
dined,0.08380945032662288
second,0.08320386131162917
englishman,0.08320386131162914
possess,0.08260139313402386
coming,0.08260139313402386
sleep,0.08260139313402386
enormous,0.08260139313402384
easily,0.08260139313402384
harbour,0.08260139313402384
seemed,0.08260139313402383
picturesque,0.08202083781088561
group,0.08202083781088561
purpose,0.08202083781088561
race,0.08146442317554423
traveller,0.08146065710694286
lie,0.08146065710694286
tell,0.08146065710694286
none,0.08146065710694286
break,0.08083603443435441
expression,0.0808360344343544
settlement,0.0804265930174402
patagonia,0.08023229483621383
dangerous,0.08023229483621382
edge,0.08023229483621382
imagined,0.08023229483621382
tropic,0.0802322948362138
savage,0.07973701467849655
especially,0.0796513433792373
geology,0.0796513433792373
afraid,0.0796513433792373
chain,0.07965134337923727
sterile,0.07965134337923727
enough,0.07909152217478256
afternoon,0.07909152217478256
elevated,0.07909152217478256
proportion,0.07909152217478256
tierra,0.07909152217478256
tierra del,0.07909152217478256
described,0.07909152217478256
singular,0.07909152217478256
size,0.07909152217478256
district,0.07907809459477835
spirit,0.07907809459477835
service,0.07907809459477833
ravine,0.07907809459477833
rio negro,0.07875976563189173
considered,0.07802867534700648
difference,0.07784210723308203
obtained,0.07784210723308203
clothes,0.077842107233082
branch,0.077842107233082
caught,0.077842107233082
danger,0.07733326251676942
knife,0.0773332625167694
torrent,0.07726072836079849
article,0.07726072836079849
natural,0.07726072836079849
fertile,0.07726072836079849
call,0.07726072836079849
around,0.0767012936244507
desolate,0.0767012936244507
bare,0.0767012936244507
attempt,0.0767012936244507
already,0.0767012936244507
blew,0.0767012936244507
next day,0.0767012936244507
neighbourhead,0.0767012936244507
mark,0.0767012936244507
meet,0.0767012936244507
partly,0.0766702064216313
fort,0.0766702064216313
coloured,0.07603662941805608
servant,0.07603662941805608
done,0.07603662941805607
gale wind,0.07543002145883725
plenty,0.07543002145883725
base,0.07543002145883725
building,0.07490752833312624
value,0.07490752833312622
sandstone,0.07490752833312622
soil,0.07484818003180962
ill,0.07484818003180962
trouble,0.07484818003180962
corn,0.07484818003180962
class,0.07484818003180962
shortly,0.07484818003180962
landed,0.07428916188538315
hardly,0.07428916188538315
becomes,0.07428916188538315
used,0.07428916188538315
late,0.07428916188538315
surprise,0.07428916188538315
blood,0.07423993201609866
adventure,0.07423993201609864
whale,0.07423993201609864
owner,0.07360339816476605
sign,0.07360339816476605
provision,0.07360339816476605
use,0.07360339816476605
never saw,0.07360339816476603
plata,0.07360339816476603
offered,0.07299516424133386
sugar,0.07299516424133386
delight,0.07299516424133384
grow,0.07299516424133384
worth,0.07299516424133384
doubt,0.07241282060048375
instance,0.07241282060048375
regular,0.07241282060048375
dirty,0.07241282060048375
excursion,0.07241282060048375
wonderful,0.07241282060048375
immense,0.07241282060048375
collecting,0.07185425283053724
joined,0.07185425283053724
came anchor,0.07185425283053724
atmosphere,0.07185425283053724
great number,0.07185425283053724
long walk,0.07185425283053724
attack,0.07178638131924597
loss,0.07178638131924597
step,0.07114660151542787
opportunity,0.07114660151542787
presented,0.07114660151542786
fair,0.0705365899079008
principal,0.0705365899079008
sw,0.0705365899079008
centre,0.0705365899079008
twenty,0.0705365899079008
picture,0.0705365899079008
naked,0.0705365899079008
table,0.0705365899079008
besides,0.07053658990790079
depth,0.07053658990790079
business,0.07053658990790079
fresh water,0.0699536990646116
universal,0.0699536990646116
happened,0.0699536990646116
enjoy,0.0699536990646116
reminded,0.0699536990646116
crossing,0.0699536990646116
quietly,0.0699536990646116
short time,0.0699536990646116
tired,0.0699536990646116
capital,0.06995369906461159
current,0.06995369906461159
alone,0.06995369906461159
extensive,0.06939561974213025
uninteresting,0.06939561974213025
really,0.06939561974213025
let,0.06939561974213025
middle day,0.06939561974213025
orange,0.06930859375606473
maldonado,0.06930859375606471
coquimbo,0.06930859375606471
labor,0.06930859375606471
commenced,0.06866523430536571
pay,0.06866523430536571
bold,0.06866523430536571
entrance,0.0680532710147571
word,0.0680532710147571
gradually,0.0680532710147571
marine,0.0680532710147571
understand,0.06805327101475708
discovered,0.06805327101475708
sometimes,0.06805327101475708
exception,0.06805327101475708
picked,0.06805327101475708
stick,0.06805327101475708
mast,0.06805327101475708
irregular,0.06746978165103555
inch,0.06746978165103555
taking,0.06746978165103555
spectacle,0.06746978165103555
cry,0.06746978165103555
stranger,0.06746978165103555
working,0.06746978165103555
disagreeable,0.06746978165103555
possible,0.06746978165103555
support,0.06746978165103555
sailing,0.06746978165103555
color,0.06746978165103555
thickly,0.06691223388788936
gone,0.06691223388788936
extent,0.06691223388788936
truly,0.06691223388788936
patch,0.06691223388788936
period,0.06691223388788936
season,0.06691223388788936
circumstance,0.06691223388788936
comfortable,0.06691223388788936
turn,0.06691223388788936
fear,0.06615820313078906
probable,0.06615820313078905
noise,0.06615820313078905
ascended,0.06615820313078905
seated,0.06615820313078905
trunk,0.06554408729148546
tried,0.06554408729148546
turf,0.06554408729148545
divided,0.06554408729148545
flow,0.06554408729148545
chance,0.06554408729148545
herd,0.06554408729148543
knew,0.06495994051408632
method,0.06495994051408632
ought,0.06495994051408632
opposite,0.06495994051408632
situation,0.06495994051408632
past,0.06495994051408632
seven,0.06495994051408631
equal,0.06495994051408631
abundance,0.06495994051408631
caused,0.06495994051408631
sunset,0.0644029733941703
bear,0.0644029733941703
corner,0.0644029733941703
news,0.0644029733941703
managed,0.0644029733941703
moment,0.0644029733941703
stokes,0.0644029733941703
growing,0.0644029733941703
trifling,0.0644029733941703
travel,0.0644029733941703
note,0.06300781250551339
interval,0.06300781250551339
fallen,0.06300781250551338
noticed,0.06300781250551338
frequently,0.06242294027760519
peculiar,0.06242294027760519
vegetable,0.06242294027760519
easy,0.06242294027760519
space,0.062422940277605185
reaching,0.062422940277605185
visited,0.062422940277605185
parallel,0.062422940277605185
mere,0.062422940277605185
walking,0.062422940277605185
latitude,0.062422940277605185
ten,0.062422940277605185
taste,0.06242294027760518
lead,0.06242294027760518
desire,0.06242294027760518
rare,0.061866610013415535
took long,0.061866610013415535
rose,0.061866610013415535
well known,0.061866610013415535
hired,0.061866610013415535
mount,0.061866610013415535
separate,0.061866610013415535
returning,0.061866610013415535
singularly,0.061866610013415535
gained,0.061866610013415535
whole day,0.061866610013415535
observation,0.061866610013415535
heavily,0.061866610013415535
moved,0.061866610013415535
feature,0.061866610013415535
completely,0.05985742188023772
neighbouring,0.05985742188023772
specie,0.05985742188023772
bring,0.05985742188023771
moreover,0.05985742188023771
command,0.05985742188023771
strongly,0.05985742188023771
removed,0.05985742188023771
carrying,0.05985742188023771
unusual,0.05985742188023771
procured,0.05930179326372493
thin,0.05930179326372493
year ago,0.05930179326372493
absolutely,0.05930179326372493
seem,0.05930179326372493
fortune,0.05930179326372493
landscape,0.05930179326372493
contrast,0.05930179326372493
solitary,0.05930179326372493
tierra del fuego,0.05930179326372493
rising,0.05930179326372493
separated,0.05930179326372493
eastern,0.05930179326372493
surprising,0.05930179326372493
soft,0.05930179326372493
proper,0.05930179326372493
stay,0.05930179326372493
undulating,0.05670703125496204
tomorrow,0.05670703125496204
eight,0.05670703125496204
went shore,0.05670703125496204
farewell,0.05670703125496204
age,0.05670703125496204
arrival,0.05670703125496204
lay,0.05670703125496204
getting,0.05670703125496204
giving,0.05670703125496204
short distance,0.05670703125496204
roof,0.05670703125496204
